No,Kode Saham,Industri,Sector
1,DMMX.JK,Advertising Agencies,Communication Services
2,FORU.JK,Advertising Agencies,Communication Services
3,GMFI.JK,Aerospace & Defense,Industrials
4,KPAL.JK,Aerospace & Defense,Industrials
5,BISI.JK,Agricultural Inputs,Basic Materials
6,CASS.JK,Airports & Air Services,Industrials
7,GIAA.JK,Airports & Air Services,Industrials
8,HELI.JK,Airports & Air Services,Industrials
9,IATA.JK,Airports & Air Services,Industrials
10,ALKA.JK,Aluminum,Basic Materials
11,ALMI.JK,Aluminum,Basic Materials
12,INAI.JK,Aluminum,Basic Materials
13,ERTX.JK,Apparel Manufacturing,Consumer Cyclical
14,PBRX.JK,Apparel Manufacturing,Consumer Cyclical
15,POLU.JK,Apparel Manufacturing,Consumer Cyclical
16,RICY.JK,Apparel Manufacturing,Consumer Cyclical
17,TRIS.JK,Apparel Manufacturing,Consumer Cyclical
18,ZONE.JK,Apparel Retail,Consumer Cyclical
19,BPII.JK,Asset Management,Financial Services
20,PADI.JK,Asset Management,Financial Services
21,SFAN.JK,Asset Management,Financial Services
22,SRTG.JK,Asset Management,Financial Services
23,STAR.JK,Asset Management,Financial Services
24,VICO.JK,Asset Management,Financial Services
25,BOGA.JK,Auto & Truck Dealerships,Consumer Cyclical
26,CARS.JK,Auto & Truck Dealerships,Consumer Cyclical
27,IMAS.JK,Auto & Truck Dealerships,Consumer Cyclical
28,MPMX.JK,Auto & Truck Dealerships,Consumer Cyclical
29,TURI.JK,Auto & Truck Dealerships,Consumer Cyclical
30,ASII.JK,Auto Parts,Consumer Cyclical
31,AUTO.JK,Auto Parts,Consumer Cyclical
32,BRAM.JK,Auto Parts,Consumer Cyclical
33,GDYR.JK,Auto Parts,Consumer Cyclical
34,GJTL.JK,Auto Parts,Consumer Cyclical
35,INDS.JK,Auto Parts,Consumer Cyclical
36,KMTR.JK,Auto Parts,Consumer Cyclical
37,LPIN.JK,Auto Parts,Consumer Cyclical
38,MASA.JK,Auto Parts,Consumer Cyclical
39,PRAS.JK,Auto Parts,Consumer Cyclical
40,SMSM.JK,Auto Parts,Consumer Cyclical
41,AGRO.JK,Banks—Regional,Financial Services
42,AGRS.JK,Banks—Regional,Financial Services
43,ARTO.JK,Banks—Regional,Financial Services
44,BABP.JK,Banks—Regional,Financial Services
45,BACA.JK,Banks—Regional,Financial Services
46,BBCA.JK,Banks—Regional,Financial Services
47,BBHI.JK,Banks—Regional,Financial Services
48,BBKP.JK,Banks—Regional,Financial Services
49,BBMD.JK,Banks—Regional,Financial Services
50,BBNI.JK,Banks—Regional,Financial Services
51,BBRI.JK,Banks—Regional,Financial Services
52,BBTN.JK,Banks—Regional,Financial Services
53,BBYB.JK,Banks—Regional,Financial Services
54,BCIC.JK,Banks—Regional,Financial Services
55,BDMN.JK,Banks—Regional,Financial Services
56,BEKS.JK,Banks—Regional,Financial Services
57,BGTG.JK,Banks—Regional,Financial Services
58,BINA.JK,Banks—Regional,Financial Services
59,BJBR.JK,Banks—Regional,Financial Services
60,BJTM.JK,Banks—Regional,Financial Services
61,BKSW.JK,Banks—Regional,Financial Services
62,BMAS.JK,Banks—Regional,Financial Services
63,BMRI.JK,Banks—Regional,Financial Services
64,BNBA.JK,Banks—Regional,Financial Services
65,BNGA.JK,Banks—Regional,Financial Services
66,BNII.JK,Banks—Regional,Financial Services
67,BNLI.JK,Banks—Regional,Financial Services
68,BRIS.JK,Banks—Regional,Financial Services
69,BSIM.JK,Banks—Regional,Financial Services
70,BTPN.JK,Banks—Regional,Financial Services
71,BTPS.JK,Banks—Regional,Financial Services
72,BVIC.JK,Banks—Regional,Financial Services
73,DNAR.JK,Banks—Regional,Financial Services
74,INPC.JK,Banks—Regional,Financial Services
75,MAYA.JK,Banks—Regional,Financial Services
76,MCOR.JK,Banks—Regional,Financial Services
77,MEGA.JK,Banks—Regional,Financial Services
78,NISP.JK,Banks—Regional,Financial Services
79,NOBU.JK,Banks—Regional,Financial Services
80,PNBN.JK,Banks—Regional,Financial Services
81,PNBS.JK,Banks—Regional,Financial Services
82,SDRA.JK,Banks—Regional,Financial Services
83,DLTA.JK,Beverages—Brewers,Consumer Defensive
84,MLBI.JK,Beverages—Brewers,Consumer Defensive
85,ADES.JK,Beverages—Non-Alcoholic,Consumer Defensive
86,ALTO.JK,Beverages—Non-Alcoholic,Consumer Defensive
87,CLEO.JK,Beverages—Non-Alcoholic,Consumer Defensive
88,EMTK.JK,Broadcasting,Communication Services
89,MARI.JK,Broadcasting,Communication Services
90,MDIA.JK,Broadcasting,Communication Services
